bartels_rotation_number,start_date,end_date
2426,2011-05-15,2011-06-10
2427,2011-06-11,2011-07-07
2428,2011-07-08,2011-08-03
2429,2011-08-04,2011-08-30
2430,2011-08-31,2011-09-26
2431,2011-09-27,2011-10-23
2432,2011-10-24,2011-11-19
2433,2011-11-20,2011-12-16
2434,2011-12-17,2012-01-12
2435,2012-01-13,2012-02-08
2436,2012-02-09,2012-03-06
2437,2012-03-07,2012-04-02
2438,2012-04-03,2012-04-29
2439,2012-04-30,2012-05-26
2440,2012-05-27,2012-06-22
2441,2012-06-23,2012-07-19
2442,2012-07-20,2012-08-15
2443,2012-08-16,2012-09-11
2444,2012-09-12,2012-10-08
2445,2012-10-09,2012-11-04
2446,2012-11-05,2012-12-01
2447,2012-12-02,2012-12-28
2448,2012-12-29,2013-01-24
2449,2013-01-25,2013-02-20
2450,2013-02-21,2013-03-19
2451,2013-03-20,2013-04-15
2452,2013-04-16,2013-05-12
2453,2013-05-13,2013-06-08
2454,2013-06-09,2013-07-05
2455,2013-07-06,2013-08-01
2456,2013-08-02,2013-08-28
2457,2013-08-29,2013-09-24
2458,2013-09-25,2013-10-21
2459,2013-10-22,2013-11-17
2460,2013-11-18,2013-12-14
2461,2013-12-15,2014-01-10
2462,2014-01-11,2014-02-06
2463,2014-02-07,2014-03-05
2464,2014-03-06,2014-04-01
2465,2014-04-02,2014-04-28
2466,2014-04-29,2014-05-25
2467,2014-05-26,2014-06-21
2468,2014-06-22,2014-07-18
2469,2014-07-19,2014-08-14
2470,2014-08-15,2014-09-10
2471,2014-09-11,2014-10-07
2472,2014-10-08,2014-11-03
2473,2014-11-04,2014-11-30
2474,2014-12-01,2014-12-27
2475,2014-12-28,2015-01-23
2476,2015-01-24,2015-02-19
2477,2015-02-20,2015-03-18
2478,2015-03-19,2015-04-14
2479,2015-04-15,2015-05-11
2480,2015-05-12,2015-06-07
2481,2015-06-08,2015-07-04
2482,2015-07-05,2015-07-31
2483,2015-08-01,2015-08-27
2484,2015-08-28,2015-09-23
2485,2015-09-24,2015-10-20
2486,2015-10-21,2015-11-16
2487,2015-11-17,2015-12-13
2488,2015-12-14,2016-01-09
2489,2016-01-10,2016-02-05
2490,2016-02-06,2016-03-03
2491,2016-03-04,2016-03-30
2492,2016-03-31,2016-04-26
2493,2016-04-27,2016-05-23
2494,2016-05-24,2016-06-19
2495,2016-06-20,2016-07-16
2496,2016-07-17,2016-08-12
2497,2016-08-13,2016-09-08
2498,2016-09-09,2016-10-05
2499,2016-10-06,2016-11-01
2500,2016-11-02,2016-11-28
2501,2016-11-29,2016-12-25
2502,2016-12-26,2017-01-21
2503,2017-01-22,2017-02-17
2504,2017-02-18,2017-03-16
2505,2017-03-17,2017-04-12
2506,2017-04-13,2017-05-09
2507,2017-05-10,2017-06-05
2508,2017-06-06,2017-07-02
2509,2017-07-03,2017-07-29
2510,2017-07-30,2017-08-25
2511,2017-08-26,2017-09-21
2512,2017-09-22,2017-10-18
2513,2017-10-19,2017-11-14
2514,2017-11-15,2017-12-11
2515,2017-12-12,2018-01-07
2516,2018-01-08,2018-02-03
2517,2018-02-04,2018-03-02
2518,2018-03-03,2018-03-29
2519,2018-03-30,2018-04-25
2520,2018-04-26,2018-05-22
2521,2018-05-23,2018-06-18
2522,2018-06-19,2018-07-15
2523,2018-07-16,2018-08-11
2524,2018-08-12,2018-09-07
2525,2018-09-08,2018-10-04
2526,2018-10-05,2018-10-31
2527,2018-11-01,2018-11-27
2528,2018-11-28,2018-12-24
2529,2018-12-25,2019-01-20
2530,2019-01-21,2019-02-16
2531,2019-02-17,2019-03-15
2532,2019-03-16,2019-04-11
2533,2019-04-12,2019-05-08
2534,2019-05-09,2019-06-04
2535,2019-06-05,2019-07-01
2536,2019-07-02,2019-07-28
2537,2019-07-29,2019-08-24
2538,2019-08-25,2019-09-20
2539,2019-09-21,2019-10-17
2540,2019-10-18,2019-11-13
2541,2019-11-14,2019-12-10
2542,2019-12-11,2020-01-06
2543,2020-01-07,2020-02-02
2544,2020-02-03,2020-02-29
2545,2020-03-01,2020-03-27
2546,2020-03-28,2020-04-23
2547,2020-04-24,2020-05-20
2548,2020-05-21,2020-06-16
2549,2020-06-17,2020-07-13
2550,2020-07-14,2020-08-09
2551,2020-08-10,2020-09-05
2552,2020-09-06,2020-10-02
2553,2020-10-03,2020-10-29
2554,2020-10-30,2020-11-25
2555,2020-11-26,2020-12-22
2556,2020-12-23,2021-01-18
2557,2021-01-19,2021-02-14
2558,2021-02-15,2021-03-13
2559,2021-03-14,2021-04-09
2560,2021-04-10,2021-05-06
2561,2021-05-07,2021-06-02
2562,2021-06-03,2021-06-29
2563,2021-06-30,2021-07-26
2564,2021-07-27,2021-08-22
2565,2021-08-23,2021-09-18
2566,2021-09-19,2021-10-15
2567,2021-10-16,2021-11-11
2568,2021-11-12,2021-12-08
2569,2021-12-09,2022-01-04
2570,2022-01-05,2022-01-31
2571,2022-02-01,2022-02-27
2572,2022-02-28,2022-03-26
2573,2022-03-27,2022-04-22
2574,2022-04-23,2022-05-19
2575,2022-05-20,2022-06-15
2576,2022-06-16,2022-07-12
2577,2022-07-13,2022-08-08
2578,2022-08-09,2022-09-04
2579,2022-09-05,2022-10-01
2580,2022-10-02,2022-10-28
2581,2022-10-29,2022-11-24
2582,2022-11-25,2022-12-21
2583,2022-12-22,2023-01-17
2584,2023-01-18,2023-02-13
2585,2023-02-14,2023-03-12
2586,2023-03-13,2023-04-08
2587,2023-04-09,2023-05-05
2588,2023-05-06,2023-06-01
2589,2023-06-02,2023-06-28
2590,2023-06-29,2023-07-25
2591,2023-07-26,2023-08-21
2592,2023-08-22,2023-09-17
2593,2023-09-18,2023-10-14
2594,2023-10-15,2023-11-10
2595,2023-11-11,2023-12-07
2596,2023-12-08,2024-01-03
2597,2024-01-04,2024-01-30
2598,2024-01-31,2024-02-26
2599,2024-02-27,2024-03-24
2600,2024-03-25,2024-04-20
2601,2024-04-21,2024-05-17
2602,2024-05-18,2024-06-13
2603,2024-06-14,2024-07-10
2604,2024-07-11,2024-08-06
2605,2024-08-07,2024-09-02
2606,2024-09-03,2024-09-29
2607,2024-09-30,2024-10-26
2608,2024-10-27,2024-11-22
